It took 15.920997619628906 seconds to calculate the Mandelbrot graph.
It took 0.20399999618530273 seconds to dump the image.
         2697341 function calls (2670085 primitive calls) in 17.469 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    664/1    0.004    0.000   17.470   17.470 {built-in method builtins.exec}
        1    0.000    0.000   17.470   17.470 mandelbrot0.py:1(<module>)
        1   15.921   15.921   15.921   15.921 mandelbrot0.py:6(simple_mandelbrot)
    382/8    0.003    0.000    1.353    0.169 <frozen importlib._bootstrap>:978(_find_and_load)
    376/7    0.001    0.000    1.352    0.193 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    360/7    0.001    0.000    1.350    0.193 <frozen importlib._bootstrap>:663(_load_unlocked)
    303/7    0.001    0.000    1.350    0.193 <frozen importlib._bootstrap_external>:722(exec_module)
    539/7    0.000    0.000    1.349    0.193 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   412/32    0.000    0.000    1.206    0.038 {built-in method builtins.__import__}
 2040/673    0.001    0.000    1.205    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.927    0.927 pyplot.py:32(<module>)
1218/1050    0.015    0.000    0.788    0.001 {built-in method builtins.__build_class__}
      101    0.001    0.000    0.665    0.007 artist.py:128(_update_set_signature_and_docstring)
      100    0.000    0.000    0.660    0.007 artist.py:104(__init_subclass__)
        1    0.000    0.000    0.486    0.486 figure.py:15(<module>)
        1    0.000    0.000    0.464    0.464 __init__.py:53(<module>)
      114    0.001    0.000    0.440    0.004 artist.py:1730(kwdoc)
       10    0.000    0.000    0.403    0.040 __init__.py:1(<module>)
    33099    0.022    0.000    0.368    0.000 inspect.py:594(getdoc)
    32049    0.202    0.000    0.342    0.000 inspect.py:613(cleandoc)
        1    0.000    0.000    0.340    0.340 colorbar.py:12(<module>)
      216    0.023    0.000    0.327    0.002 artist.py:1422(get_setters)
    27386    0.013    0.000    0.319    0.000 artist.py:1441(is_alias)
      114    0.005    0.000    0.311    0.003 artist.py:1491(pprint_setters)
        1    0.000    0.000    0.251    0.251 _subplots.py:1(<module>)
      216    0.001    0.000    0.242    0.001 artist.py:1327(__init__)
      216    0.012    0.000    0.241    0.001 artist.py:1347(get_aliases)
        1    0.000    0.000    0.236    0.236 _axes.py:1(<module>)
        1    0.000    0.000    0.223    0.223 __init__.py:82(<module>)
        1    0.000    0.000    0.191    0.191 __init__.py:108(<module>)
        1    0.000    0.000    0.186    0.186 contour.py:3(<module>)
     8725    0.004    0.000    0.163    0.000 inspect.py:3081(signature)
     8725    0.003    0.000    0.160    0.000 inspect.py:2829(from_callable)
      303    0.003    0.000    0.158    0.001 <frozen importlib._bootstrap_external>:793(get_code)
        1    0.000    0.000    0.158    0.158 rcsetup.py:14(<module>)
8767/8725    0.025    0.000    0.156    0.000 inspect.py:2198(_signature_from_callable)
        1    0.000    0.000    0.152    0.152 backend_bases.py:26(<module>)
        1    0.000    0.000    0.150    0.150 pyplot.py:955(savefig)
        1    0.000    0.000    0.137    0.137 collections.py:10(<module>)
        2    0.000    0.000    0.128    0.064 backend_agg.py:429(draw)
        2    0.000    0.000    0.128    0.064 artist.py:71(draw_wrapper)
